job_id,num_gpus,submit_time,duration,model
0,16,38,3939.0,GPT2
1,8,88,4026.0,BERT
2,12,143,777.0,PointNet
3,1,400,3300.0,vgg19
4,6,444,9473.0,DCGAN
5,8,560,9610.0,DCGAN
6,16,663,2986.0,PointNet
7,1,715,80.0,vgg19
8,4,745,146710.0,resnet50
9,12,923,281.0,PointNet
10,1,979,2830.0,vgg19
11,16,1397,937.0,PointNet
12,1,1459,2095.0,vgg19
13,6,1498,1529.0,PointNet
14,16,1554,18537.0,GPT2
15,16,1568,701.0,PointNet
16,12,1693,1696.0,PointNet
17,1,1702,649.0,vgg19
18,8,1823,3000.0,PointNet
19,12,1948,1329.0,PointNet
20,1,2073,552.0,vgg19
21,6,2100,109.0,PointNet
22,6,2281,2753.0,PointNet
23,1,2328,2772.0,vgg19
24,12,2329,2092.0,PointNet
25,4,2583,49672.0,resnet50
26,16,2630,2918.0,PointNet
27,1,2766,1185.0,vgg19
28,16,2850,2040.0,PointNet
29,12,2909,1270.0,PointNet
30,1,2990,1986.0,vgg19
31,1,2990,2202.0,vgg19
32,1,3250,2229.0,vgg19
33,6,3327,3669.0,GPT2
34,32,3396,182637.0,resnet50
35,8,3474,2087.0,PointNet
36,1,3515,1988.0,vgg19
37,1,3715,69.0,vgg19
38,1,3732,70.0,vgg19
39,16,4318,78.0,PointNet
40,1,4364,855.0,vgg19
41,8,4481,656.0,PointNet
42,6,4537,643.0,PointNet
43,1,4577,964.0,vgg19
44,1,4774,209.0,vgg19
45,8,4870,1415.0,PointNet
46,1,5179,670.0,vgg19
47,24,5236,266268.0,resnet50
48,4,5563,126211.0,resnet50
49,16,5591,192.0,PointNet
50,1,5598,243.0,vgg19
51,6,5746,298.0,PointNet
52,16,6273,960.0,PointNet
53,16,6383,8174.0,GPT2
54,8,6774,318.0,PointNet
55,6,7153,22299.0,DCGAN
56,12,7215,1635.0,PointNet
57,6,7332,72.0,PointNet
58,1,7332,60.0,vgg19
59,1,7332,69.0,vgg19
60,4,7426,80717.0,resnet50
61,1,7911,799.0,vgg19
62,1,8047,92.0,vgg19
63,6,8077,446.0,PointNet
64,8,8222,312.0,PointNet
65,8,8282,5912.0,BERT
66,1,8762,567.0,vgg19
67,1,8889,746.0,vgg19
68,1,9191,1097.0,vgg19
69,6,9275,102.0,PointNet
70,6,9456,6099.0,DCGAN
71,8,9944,2761.0,PointNet
72,1,10052,2680.0,vgg19
73,8,10332,61.0,PointNet
74,6,10384,179.0,PointNet
75,1,10392,206.0,vgg19
76,1,10472,898.0,vgg19
77,8,10915,66.0,PointNet
78,8,11135,3833.0,GPT2
79,1,11270,2291.0,vgg19
80,4,11505,153285.0,resnet50
81,1,11514,69.0,vgg19
82,1,11518,103.0,vgg19
83,12,11587,215.0,PointNet
84,4,11669,15852.0,resnet50
85,1,11862,105.0,vgg19
86,1,12004,1201.0,vgg19
87,4,12052,12515.0,resnet50
88,12,12115,72.0,PointNet
89,1,12132,65.0,vgg19
90,6,12165,326.0,PointNet
91,12,12345,117.0,PointNet
92,8,12432,2663.0,PointNet
93,1,12536,2598.0,vgg19
94,12,12765,4779.0,GPT2
95,1,12778,75.0,vgg19
96,16,12890,2508.0,PointNet
97,16,12933,2276.0,PointNet
98,1,13162,1502.0,vgg19
99,1,13323,1413.0,vgg19
100,1,13706,930.0,vgg19
101,16,13771,118.0,PointNet
102,6,14125,807.0,PointNet
103,8,14127,1394.0,PointNet
104,1,14216,2563.0,vgg19
105,4,14306,40005.0,resnet50
106,4,14338,157729.0,resnet50
107,1,14444,2541.0,vgg19
108,1,14470,585.0,vgg19
109,1,14490,1113.0,vgg19
110,1,14534,1184.0,vgg19
111,16,14659,994.0,PointNet
112,1,14859,803.0,vgg19
113,6,14969,15780.0,DCGAN
114,12,14984,644.0,PointNet
115,12,15055,15471.0,GPT2
116,4,15062,75181.0,resnet50
117,6,15074,440.0,PointNet
118,1,15133,73.0,vgg19
119,1,15195,3114.0,vgg19
120,6,15216,2759.0,PointNet
121,6,15287,245.0,PointNet
122,6,15424,879.0,PointNet
123,1,15603,1951.0,vgg19
124,6,15716,67.0,PointNet
125,1,15732,72.0,vgg19
126,6,15791,1030.0,PointNet
127,16,15827,1031.0,PointNet
128,8,15856,2725.0,PointNet
129,1,15945,890.0,vgg19
130,6,16070,3123.0,PointNet
131,6,16093,1952.0,PointNet
132,12,16138,1117.0,PointNet
133,6,16145,4597.0,DCGAN
134,12,16207,4525.0,DCGAN
135,6,16473,1923.0,PointNet
136,4,16632,68687.0,resnet50
137,6,16635,5037.0,DCGAN
138,8,16671,221.0,PointNet
139,4,16696,47220.0,resnet50
140,1,16713,2776.0,vgg19
141,1,16748,425.0,vgg19
142,1,16907,1902.0,vgg19
143,12,16915,1113.0,PointNet
144,16,16931,2470.0,PointNet
145,4,16936,40441.0,resnet50
146,16,17008,2815.0,PointNet
147,8,17103,2636.0,PointNet
148,16,17109,6063.0,GPT2
149,12,17145,2102.0,PointNet
150,12,17201,5177.0,BERT
151,1,17338,2824.0,vgg19
152,4,17382,51474.0,resnet50
153,12,17570,1486.0,PointNet
154,8,17709,2305.0,PointNet
155,8,17814,1507.0,PointNet
156,1,17827,957.0,vgg19
157,16,17848,10543.0,BERT
158,8,17980,5016.0,DCGAN
159,6,17991,4182.0,DCGAN
