job_id,num_gpus,submit_time,duration,model
0,1,118,73.0,vgg19
1,1,132,64.0,vgg19
2,1,200,3153.0,vgg19
3,12,396,768.0,BERT
4,1,409,2267.0,vgg19
5,1,512,86.0,vgg19
6,6,560,9610.0,BERT
7,1,731,76.0,vgg19
8,1,778,2995.0,vgg19
9,6,1170,1439.0,PointNet
10,1,1337,2110.0,vgg19
11,16,1424,9834.0,BERT
12,6,1460,1486.0,PointNet
13,12,1661,833.0,PointNet
14,16,1685,2717.0,PointNet
15,1,1756,1716.0,vgg19
16,12,2188,9577.0,BERT
17,8,2248,1029.0,PointNet
18,4,2301,13108.0,resnet50
19,48,2304,228352.0,resnet50
20,4,2407,98647.0,resnet50
21,32,2619,178154.0,resnet50
22,6,2700,691.0,PointNet
23,6,2727,4145.0,GPT2
24,1,2750,1824.0,vgg19
25,1,3114,1013.0,vgg19
26,8,3131,72.0,PointNet
27,1,3177,1020.0,vgg19
28,1,3261,1227.0,vgg19
29,1,3582,1013.0,vgg19
30,12,3832,1601.0,PointNet
31,1,3880,879.0,vgg19
32,12,3904,1399.0,PointNet
33,1,3930,3068.0,vgg19
34,1,4119,508.0,vgg19
35,1,4141,982.0,vgg19
36,16,4243,507.0,PointNet
37,1,4333,70.0,vgg19
38,1,4361,2784.0,vgg19
39,6,4735,634.0,PointNet
40,16,4877,1194.0,PointNet
41,1,5034,2101.0,vgg19
42,6,5436,95.0,PointNet
43,1,5614,236.0,vgg19
44,12,5651,187.0,PointNet
45,6,5662,8082.0,DCGAN
46,1,5782,292.0,vgg19
47,12,5905,29157.0,GPT2
48,1,6111,82.0,vgg19
49,4,6182,96212.0,resnet50
50,8,6192,81.0,PointNet
51,1,6732,64.0,vgg19
52,16,6842,771.0,PointNet
53,1,6910,1233.0,vgg19
54,1,7037,2066.0,vgg19
55,1,7110,181.0,vgg19
56,1,7314,64.0,vgg19
57,1,7334,71.0,vgg19
58,4,7562,74207.0,resnet50
59,16,7811,591.0,PointNet
60,1,7849,823.0,vgg19
61,1,7911,799.0,vgg19
62,1,7932,67.0,vgg19
63,1,8047,92.0,vgg19
64,6,8321,1074.0,PointNet
65,6,8324,3625.0,BERT
66,12,8430,336.0,PointNet
67,12,8530,63.0,PointNet
68,4,8713,40467.0,resnet50
69,1,9115,67.0,vgg19
70,1,9391,1093.0,vgg19
71,16,9523,2497.0,PointNet
72,8,9539,5935.0,DCGAN
73,1,9715,66.0,vgg19
74,8,9962,2730.0,PointNet
75,6,10315,122.0,PointNet
76,1,10918,70.0,vgg19
77,6,10932,65.0,PointNet
78,1,10947,1496.0,vgg19
79,1,10974,966.0,vgg19
80,1,11069,896.0,vgg19
81,1,11479,2609.0,vgg19
82,16,11546,3949.0,BERT
83,1,11634,582.0,vgg19
84,16,11956,4532.0,BERT
85,8,12066,408.0,PointNet
86,6,12131,74.0,PointNet
87,12,12244,2530.0,PointNet
88,1,12254,2707.0,vgg19
89,1,12300,2499.0,vgg19
90,6,12659,4141.0,DCGAN
91,6,12716,72.0,PointNet
92,1,12735,2826.0,vgg19
93,1,13018,3178.0,vgg19
94,8,13141,28789.0,DCGAN
95,1,13174,2649.0,vgg19
96,4,13191,46565.0,resnet50
97,6,13331,60.0,PointNet
98,6,13357,2838.0,PointNet
99,1,13436,2699.0,vgg19
100,1,13532,2803.0,vgg19
101,1,13562,209.0,vgg19
102,1,13774,3029.0,vgg19
103,12,13777,5613.0,DCGAN
104,4,13783,63174.0,resnet50
105,1,13807,450.0,vgg19
106,6,13915,71.0,PointNet
107,6,13943,2653.0,PointNet
108,16,14126,1446.0,PointNet
109,1,14155,1068.0,vgg19
110,1,14227,266.0,vgg19
111,4,14299,62607.0,resnet50
112,8,14407,493.0,DCGAN
113,1,14459,2838.0,vgg19
114,12,14514,761.0,PointNet
115,48,14528,141622.0,resnet50
116,12,14680,1621.0,PointNet
117,16,14752,1853.0,PointNet
118,16,14807,271.0,PointNet
119,1,14842,2828.0,vgg19
120,6,14950,1170.0,PointNet
121,6,14961,675.0,PointNet
122,32,15018,96634.0,resnet50
123,1,15029,508.0,vgg19
124,1,15051,1744.0,vgg19
125,1,15134,64.0,vgg19
126,6,15162,170.0,PointNet
127,4,15171,35146.0,resnet50
128,8,15214,2389.0,PointNet
129,1,15406,740.0,vgg19
130,12,15536,5789.0,DCGAN
131,1,15550,1383.0,vgg19
132,16,15562,2496.0,PointNet
133,6,15617,1109.0,PointNet
134,6,15639,310.0,PointNet
135,16,15727,85.0,PointNet
136,6,15732,60.0,PointNet
137,8,15803,726.0,PointNet
138,1,15859,2951.0,vgg19
139,1,15892,501.0,vgg19
140,1,16162,2632.0,vgg19
141,8,16191,478.0,PointNet
142,1,16318,76.0,vgg19
143,1,16331,66.0,vgg19
144,1,16427,1607.0,vgg19
145,6,16507,1466.0,PointNet
146,1,16526,176.0,vgg19
147,4,16872,36640.0,resnet50
148,1,16915,64.0,vgg19
149,16,16934,2354.0,PointNet
150,1,16990,2514.0,vgg19
151,6,17047,2329.0,PointNet
152,12,17190,5819.0,DCGAN
153,8,17391,2315.0,PointNet
154,1,17477,1509.0,vgg19
155,8,17805,2553.0,PointNet
156,6,17875,181.0,PointNet
157,1,17917,1549.0,vgg19
158,1,17966,522.0,vgg19
159,1,17992,292.0,vgg19
