job_id,num_gpus,submit_time,duration,model,batch_size
1,1,33,9447,res18,64
2,1,41,9971,res50,64
3,1,153,1244,shufflenet,128
4,2,239,1942,transformer,32
5,2,256,5782,transformer,32
6,1,297,7527,res50,64
7,1,332,3862,alexnet,32
8,2,395,1418,res50,32
9,1,488,1767,shufflenet,128
10,1,493,2815,shufflenet,32
11,8,494,895,transformer,128
12,1,602,1767,shufflenet,32
13,2,636,1942,transformer,32
14,1,722,3164,res18,64
15,2,722,8400,transformer,64
16,1,757,16604,res18,128
17,2,833,15905,shufflenet,64
18,2,848,2989,transformer,64
19,1,1022,2116,alexnet,128
20,2,1161,2291,shufflenet,64
21,2,1162,4036,alexnet,64
22,1,1163,3513,shufflenet,32
23,2,1209,4036,res50,32
24,1,1376,1593,res50,32
25,1,1404,3338,alexnet,32
26,1,1418,6829,res50,128
27,2,1450,720,shufflenet,128
28,1,1451,3862,alexnet,128
29,2,1466,1244,res18,64
30,2,1500,3687,res18,128
31,2,1541,4036,transformer,64
32,4,1556,4036,transformer,64
33,1,1571,4036,shufflenet,32
34,2,1585,17651,transformer,32
35,1,1621,720,shufflenet,32
36,4,1641,895,alexnet,128
37,2,1642,5782,res18,128
38,1,1751,8575,alexnet,32
39,1,1799,4211,shufflenet,64
40,1,1860,5956,res50,64
41,4,1872,7702,res18,32
42,1,2165,8225,shufflenet,64
43,2,2282,1244,transformer,64
44,1,2289,16778,res18,32
45,1,2313,14335,alexnet,64
46,1,2389,1069,res18,32
47,1,2463,4211,shufflenet,64
48,1,2628,720,shufflenet,32
49,1,2660,1418,shufflenet,64
50,4,2766,1593,shufflenet,64
