job_id,num_gpus,submit_time,duration,model,batch_size
1,1,34,9447,shufflenet,32
2,1,77,9971,shufflenet,32
3,1,641,1244,res18,64
4,2,1073,1942,shufflenet,64
5,2,1161,5782,res18,32
6,1,1366,7527,res18,64
7,1,1545,3862,shufflenet,128
8,2,1861,1418,alexnet,32
9,1,2327,1767,res18,64
10,1,2356,2815,shufflenet,64
11,8,2364,895,transformer,64
12,1,2905,1767,res18,32
13,2,3075,1942,shufflenet,32
14,1,3505,3164,res50,64
15,2,3505,8400,alexnet,128
16,1,3681,16604,res18,64
17,2,4064,15905,shufflenet,64
18,2,4141,2989,transformer,64
19,1,5012,2116,alexnet,32
20,2,5707,2291,shufflenet,128
21,2,5716,4036,res50,128
22,1,5723,3513,res18,128
23,2,5956,4036,alexnet,64
24,1,6795,1593,res18,64
25,1,6938,3338,shufflenet,128
26,1,7011,6829,res18,128
27,2,7175,720,transformer,64
28,1,7183,3862,res18,32
29,2,7258,1244,transformer,64
30,2,7430,3687,transformer,32
31,2,7635,4036,res18,128
32,4,7714,4036,shufflenet,64
33,1,7792,4036,alexnet,128
34,2,7866,17651,res50,128
35,1,8050,720,alexnet,64
36,4,8152,895,res50,32
37,2,8158,5782,res18,64
38,1,8703,8575,res50,64
39,1,8946,4211,alexnet,64
40,1,9254,5956,alexnet,64
41,4,9315,7702,alexnet,64
42,1,10784,8225,shufflenet,128
43,2,11373,1244,alexnet,32
44,1,11411,16778,shufflenet,128
45,1,11532,14335,alexnet,64
46,1,11915,1069,res50,128
47,1,12287,4211,alexnet,64
48,1,13113,720,res50,128
49,1,13277,1418,res50,32
50,4,13808,1593,res50,128
51,2,14140,1767,alexnet,128
52,4,14248,12415,shufflenet,128
53,2,14513,3338,alexnet,128
54,8,15155,4909,transformer,64
55,2,15716,2291,res50,32
56,1,15927,5956,res18,64
57,2,16193,8749,shufflenet,128
58,4,16203,895,alexnet,128
59,4,16286,895,alexnet,64
60,1,16764,16255,alexnet,64
61,2,16924,5782,shufflenet,64
62,1,16980,1244,shufflenet,64
63,2,17218,1767,res50,64
64,1,17582,2640,res50,128
65,1,17918,3164,res18,128
66,1,18058,3862,res50,64
67,2,18231,8924,transformer,64
68,4,18444,720,alexnet,64
69,1,18896,6655,shufflenet,32
70,2,19116,1244,transformer,32
71,1,19265,11542,alexnet,128
72,1,19466,2465,alexnet,32
73,1,19475,2640,res50,128
74,2,19488,1418,transformer,64
75,2,19852,1767,transformer,64
76,1,21077,1418,res18,128
77,2,21346,3338,shufflenet,128
78,1,21496,1244,res18,128
79,2,21552,2815,transformer,128
80,1,21761,15731,alexnet,128
81,2,22967,2116,transformer,32
82,4,23408,3164,transformer,32
83,1,23640,6829,shufflenet,128
84,8,24230,7702,transformer,128
85,1,24309,4735,res50,32
86,1,24525,3338,alexnet,128
87,1,25438,6480,res50,64
88,1,25696,3513,alexnet,64
89,1,25880,3687,res18,128
90,1,25974,1593,res50,64
91,2,26212,2291,transformer,64
92,1,27156,4735,res50,32
93,1,27157,720,res18,64
94,2,27616,1593,shufflenet,128
95,1,28131,4211,alexnet,32
96,4,28782,3687,transformer,128
97,2,29186,3862,transformer,32
98,1,29682,4909,shufflenet,32
99,1,29901,1069,res50,64
100,1,30148,3513,alexnet,64
101,2,30314,1244,alexnet,32
102,1,30331,1069,shufflenet,128
103,1,30943,2465,alexnet,128
104,2,31196,2989,res50,32
105,4,31262,3513,res50,64
106,1,31472,16255,res18,128
107,1,31671,2291,res50,64
108,2,31803,4211,res18,128
109,1,31930,2465,res50,32
110,1,32161,3862,res50,128
111,4,32454,6131,res50,128
112,1,32738,1069,res50,64
113,1,32921,1069,res50,128
114,1,32929,1244,res50,128
115,1,33007,1244,res50,64
116,1,33065,3862,shufflenet,32
117,1,33328,16953,alexnet,64
118,2,33920,3687,transformer,128
119,2,34400,3862,alexnet,64
120,1,34878,3164,shufflenet,128
