job_id,num_gpus,submit_time,duration,model,batch_size
0,1,41,9447,PointNet,32
1,1,49,9971,PointNet,32
2,1,161,1244,DCGAN,32
3,2,247,1942,DCGAN,32
4,2,264,5782,PointNet,128
5,1,305,7527,DCGAN,64
6,1,340,3862,vgg19,64
7,2,403,1418,DCGAN,128
8,1,496,1767,DCGAN,32
9,1,501,2815,resnet50,128
10,8,502,895,DCGAN,128
11,1,610,1767,resnet50,32
12,2,644,1942,DCGAN,128
13,1,730,3164,PointNet,64
14,2,730,8400,resnet50,64
15,1,765,16604,PointNet,64
16,2,841,15905,vgg19,64
17,2,856,2989,PointNet,32
18,1,1030,2116,vgg19,32
19,2,1169,2291,DCGAN,32
20,2,1170,4036,DCGAN,32
21,1,1171,3513,DCGAN,32
22,2,1217,4036,PointNet,64
23,1,1384,1593,PointNet,32
24,1,1412,3338,vgg19,128
25,1,1426,6829,PointNet,32
26,2,1458,720,resnet50,64
27,1,1459,3862,PointNet,64
28,2,1474,1244,DCGAN,128
29,2,1508,3687,DCGAN,128
30,2,1549,4036,DCGAN,64
31,4,1564,4036,resnet50,64
32,1,1579,4036,resnet50,32
33,2,1593,17651,resnet50,32
34,1,1629,720,resnet50,128
35,4,1649,895,DCGAN,32
36,2,1650,5782,PointNet,64
37,1,1759,8575,resnet50,128
38,1,1807,4211,DCGAN,32
39,1,1868,5956,vgg19,32
40,4,1880,7702,resnet50,32
41,1,2173,8225,DCGAN,32
42,2,2290,1244,resnet50,32
43,1,2297,16778,vgg19,64
44,1,2321,14335,vgg19,64
45,1,2397,1069,PointNet,64
46,1,2471,4211,DCGAN,64
47,1,2636,720,DCGAN,64
48,1,2668,1418,PointNet,128
49,4,2774,1593,PointNet,32
50,2,2840,1767,DCGAN,64
51,4,2861,12415,resnet50,128
52,2,2914,3338,DCGAN,64
53,8,3042,4909,resnet50,32
54,2,3154,2291,resnet50,128
55,1,3196,5956,DCGAN,32
56,2,3249,8749,resnet50,64
57,4,3251,895,resnet50,32
58,4,3267,895,DCGAN,32
59,1,3362,16255,vgg19,32
60,2,3394,5782,PointNet,64
61,1,3405,1244,DCGAN,128
62,2,3452,1767,DCGAN,32
63,1,3524,2640,resnet50,64
64,1,3591,3164,DCGAN,128
65,1,3619,3862,DCGAN,32
66,2,3653,8924,PointNet,64
67,4,3695,720,DCGAN,64
68,1,3785,6655,resnet50,64
69,2,3829,1244,PointNet,32
70,1,3858,11542,resnet50,128
71,1,3898,2465,vgg19,64
72,1,3899,2640,PointNet,64
73,2,3901,1418,PointNet,128
74,2,3973,1767,resnet50,64
75,1,4218,1418,resnet50,32
76,2,4271,3338,PointNet,32
77,1,4301,1244,vgg19,128
78,2,4312,2815,vgg19,32
79,1,4353,15731,vgg19,128
80,2,4594,2116,resnet50,128
81,4,4682,3164,DCGAN,32
82,1,4728,6829,vgg19,64
83,8,4846,7702,resnet50,64
84,1,4861,4735,PointNet,64
85,1,4904,3338,vgg19,128
86,1,5086,6480,resnet50,128
87,1,5137,3513,vgg19,32
88,1,5173,3687,resnet50,32
89,1,5191,1593,resnet50,128
90,2,5238,2291,DCGAN,128
91,1,5426,4735,vgg19,32
92,1,5426,720,DCGAN,128
93,2,5517,1593,vgg19,32
94,1,5620,4211,PointNet,128
95,4,5750,3687,DCGAN,128
96,2,5830,3862,DCGAN,32
97,1,5929,4909,vgg19,32
98,1,5972,1069,DCGAN,32
99,1,6021,3513,resnet50,128
100,2,6054,1244,DCGAN,128
101,1,6057,1069,PointNet,32
102,1,6179,2465,PointNet,128
103,2,6229,2989,DCGAN,128
104,4,6242,3513,PointNet,32
105,1,6284,16255,resnet50,128
106,1,6323,2291,resnet50,128
107,2,6349,4211,PointNet,128
108,1,6374,2465,resnet50,128
109,1,6420,3862,resnet50,32
110,4,6478,6131,DCGAN,128
111,1,6534,1069,DCGAN,64
112,1,6570,1069,PointNet,128
113,1,6571,1244,DCGAN,64
114,1,6586,1244,DCGAN,64
115,1,6597,3862,resnet50,128
116,1,6649,16953,DCGAN,64
117,2,6767,3687,DCGAN,128
118,2,6863,3862,resnet50,32
119,1,6958,3164,DCGAN,64
