job_id,num_gpus,submit_time,duration,model,batch_size
1,1,16,136131,resnet50,32
2,1,24,132315,vgg19,32
3,1,136,70472,DCGAN,128
4,2,222,51463,vgg19,32
5,2,239,153223,vgg19,32
6,1,280,426404,DCGAN,128
7,1,315,218782,DCGAN,128
8,2,378,148634,DCGAN,128
9,1,471,23448,vgg19,32
10,1,476,159469,DCGAN,128
11,8,477,333396,DCGAN,128
12,1,585,2350,PointNet,32
13,2,619,51463,vgg19,32
14,1,705,41986,vgg19,32
15,2,705,255276,resnet50,32
16,1,740,239263,resnet50,32
17,2,816,47874,PointNet,32
18,2,831,8996,PointNet,32
19,1,1005,2814,PointNet,32
20,2,1144,778,GPT2,32
21,2,1145,1372,GPT2,32
22,1,1146,4672,PointNet,32
23,2,1192,106954,vgg19,32
24,1,1359,90243,DCGAN,128
25,1,1387,48100,resnet50,32
26,1,1401,98405,resnet50,32
27,2,1433,19080,vgg19,32
28,1,1434,55651,resnet50,32
29,2,1449,3744,PointNet,32
30,2,1483,1253,GPT2,32
31,2,1524,423053,DCGAN,128
32,4,1539,1170,GPT2-Medium,32
33,1,1554,228639,DCGAN,128
34,2,1568,1850177,DCGAN,128
35,1,1604,10375,resnet50,32
36,4,1624,46584,vgg19,32
37,2,1625,1965,GPT2,32
38,1,1734,11404,PointNet,32
39,1,1782,60680,resnet50,32
40,1,1843,79036,vgg19,32
41,4,1855,1546946,DCGAN,128
42,1,2148,465946,DCGAN,128
43,2,2265,32966,vgg19,32
44,1,2272,222644,vgg19,32
45,1,2296,206567,resnet50,32
46,1,2372,14185,vgg19,32
47,1,2446,55879,vgg19,32
48,1,2611,9554,vgg19,32
49,1,2643,20433,resnet50,32
50,4,2749,87901,resnet50,32
