job_id,num_gpus,submit_time,duration,model,batch_size
1,1,64,9447,vgg19,128
2,1,89,9971,PointNet,64
3,1,427,1244,DCGAN,128
4,2,686,1942,DCGAN,64
5,2,739,5782,DCGAN,64
6,1,862,7527,resnet50,128
7,1,969,3862,PointNet,128
8,2,1158,1418,resnet50,128
9,1,1437,1767,resnet50,32
10,1,1454,2815,DCGAN,32
11,4,1459,895,DCGAN,64
12,1,1784,1767,DCGAN,64
13,2,1886,1942,resnet50,128
14,1,2144,3164,PointNet,32
15,2,2144,8400,vgg19,64
16,1,2250,16604,vgg19,128
17,2,2480,15905,PointNet,32
18,2,2526,2989,resnet50,64
19,1,3048,2116,vgg19,32
20,2,3465,2291,vgg19,32
21,2,3470,4036,DCGAN,64
22,1,3474,3513,vgg19,64
23,2,3614,4036,vgg19,64
24,1,4117,1593,PointNet,128
25,1,4203,3338,PointNet,32
