job_id,num_gpus,submit_time,duration,model,batch_size
0,1,88,3993,DCGAN,8
1,1,96,4189,resnet50,16
2,1,208,916,vgg19,16
3,2,294,1178,DCGAN,16
4,2,311,2618,PointNet,16
5,1,352,3273,vgg19,16
6,1,387,1898,resnet50,16
7,2,450,982,vgg19,16
8,1,543,1113,vgg19,16
9,1,548,1505,PointNet,16
10,8,549,785,DCGAN,64
11,1,657,1113,DCGAN,32
12,2,691,1178,resnet50,16
13,1,777,1636,resnet50,16
14,2,777,3600,DCGAN,64
15,1,812,6676,DCGAN,32
16,2,888,6415,vgg19,16
17,2,903,1571,PointNet,16
18,1,1077,1244,resnet50,16
19,2,1216,1309,resnet50,16
20,2,1217,1964,PointNet,16
21,1,1218,1767,vgg19,16
22,2,1264,1964,vgg19,16
23,1,1431,1047,DCGAN,32
24,1,1459,1702,vgg19,16
25,1,1473,3011,vgg19,16
26,2,1505,720,resnet50,16
27,1,1506,1898,resnet50,16
28,2,1521,916,resnet50,16
29,2,1555,1833,PointNet,16
30,2,1596,1964,PointNet,16
31,4,1611,1964,vgg19,16
32,1,1626,1964,DCGAN,16
33,2,1640,7069,vgg19,16
34,1,1676,720,DCGAN,32
35,4,1696,785,DCGAN,32
36,2,1697,2618,resnet50,16
37,1,1806,3665,vgg19,16
38,1,1854,2029,vgg19,16
39,1,1915,2684,PointNet,16
40,4,1927,3338,resnet50,16
41,1,2220,3535,DCGAN,8
42,2,2337,916,DCGAN,16
43,1,2344,6742,DCGAN,8
44,1,2368,5825,DCGAN,8
45,1,2444,851,vgg19,16
46,1,2518,2029,vgg19,16
47,1,2683,720,PointNet,16
48,1,2715,982,DCGAN,16
49,4,2821,1047,PointNet,16
50,2,2887,1113,vgg19,16
51,4,2908,5105,DCGAN,32
52,2,2961,1702,PointNet,16
53,8,3089,2291,DCGAN,16
54,2,3201,1309,PointNet,16
55,1,3243,2684,DCGAN,16
56,2,3296,3731,DCGAN,64
57,4,3298,785,vgg19,16
58,4,3314,785,DCGAN,32
59,1,3409,6545,DCGAN,16
60,2,3441,2618,resnet50,16
61,1,3452,916,DCGAN,32
62,2,3499,1113,DCGAN,32
63,1,3571,1440,PointNet,16
64,1,3638,1636,resnet50,16
65,1,3666,1898,vgg19,16
66,2,3700,3796,vgg19,16
67,4,3742,720,DCGAN,32
68,1,3832,2945,DCGAN,64
69,2,3876,916,PointNet,16
70,1,3905,4778,vgg19,16
71,1,3945,1375,resnet50,16
72,1,3946,1440,resnet50,16
73,2,3948,982,resnet50,16
74,2,4020,1113,DCGAN,32
75,1,4265,982,vgg19,16
76,2,4318,1702,DCGAN,16
77,1,4348,916,DCGAN,8
78,2,4359,1505,DCGAN,8
79,1,4400,6349,PointNet,16
80,2,4641,1244,DCGAN,8
81,4,4729,1636,DCGAN,8
82,1,4775,3011,DCGAN,64
83,8,4893,3338,DCGAN,32
84,1,4908,2225,resnet50,16
85,1,4951,1702,PointNet,16
86,1,5133,2880,PointNet,16
87,1,5184,1767,PointNet,16
88,1,5220,1833,DCGAN,16
89,1,5238,1047,resnet50,16
90,2,5285,1309,vgg19,16
91,1,5473,2225,DCGAN,8
92,1,5473,720,resnet50,16
93,2,5564,1047,resnet50,16
94,1,5667,2029,resnet50,16
95,4,5797,1833,vgg19,16
96,2,5877,1898,resnet50,16
97,1,5976,2291,DCGAN,16
98,1,6019,851,vgg19,16
99,1,6068,1767,DCGAN,16
100,2,6101,916,resnet50,16
101,1,6104,851,vgg19,16
102,1,6226,1375,resnet50,16
103,2,6276,1571,DCGAN,8
104,4,6289,1767,resnet50,16
105,1,6331,6545,resnet50,16
106,1,6370,1309,DCGAN,8
107,2,6396,2029,DCGAN,16
108,1,6421,1375,vgg19,16
109,1,6467,1898,DCGAN,8
110,4,6525,2749,DCGAN,16
111,1,6581,851,resnet50,16
112,1,6617,851,vgg19,16
113,1,6618,916,resnet50,16
114,1,6633,916,PointNet,16
115,1,6644,1898,resnet50,16
116,1,6696,6807,resnet50,16
117,2,6814,1833,vgg19,16
118,2,6910,1898,PointNet,16
119,1,7005,1636,vgg19,16
