job_id,num_gpus,submit_time,duration,model,batch_size
0,1,74,2175,resnet50,16
1,1,82,2262,PointNet,16
2,1,194,807,vgg19,16
3,2,280,924,vgg19,16
4,2,297,1564,vgg19,16
5,1,338,1855,vgg19,16
6,1,373,1244,vgg19,16
7,2,436,836,resnet50,8
8,1,529,895,PointNet,16
9,1,534,1069,vgg19,16
10,8,535,749,DCGAN,32
11,1,643,895,DCGAN,32
12,2,677,924,DCGAN,16
13,1,763,1127,resnet50,8
14,2,763,2000,resnet50,64
15,1,798,3367,PointNet,16
16,2,874,3251,resnet50,8
17,2,889,1098,PointNet,16
18,1,1063,953,DCGAN,32
19,2,1202,982,DCGAN,16
20,2,1203,1273,resnet50,8
21,1,1204,1185,PointNet,16
22,2,1250,1273,resnet50,8
23,1,1417,865,vgg19,16
24,1,1445,1156,resnet50,64
